Time from Start to Finish (seconds),Q1,Q2,Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8
2556,30-34,Man,Republic of Korea,Master’s degree,Data Analyst,< 1 years,Python,,SQL,C,,,Javascript,,,,,,,Python
4100,40-44,Woman,Saudi Arabia,Master’s degree,Product/Project Manager,3-5 years,,,,,C++,,,,,,,,,SQL
3112,18-21,Man,India,Bachelor’s degree,Currently not employed,5-10 years,Python,,SQL,,,Java,,,,,,,,Python
2125,25-29,Woman,India,Master’s degree,Software Engineer,1-2 years,Python,,,,,,,,,,,,,C
288,22-24,Woman,Taiwan,Professional degree,Product/Project Manager,1-2 years,,R,SQL,,,Java,,,,,,,,SQL
787,55-59,Man,United States of America,Professional degree,Research Scientist,1-2 years,Python,,,,,,,,,,,,,Python
722,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,,Python
514,30-34,Man,India,Master’s degree,Software Engineer,5-10 years,,,,C,C++,,,,,,,,,Python
12568,25-29,Man,Nigeria,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,Other,Python
550,18-21,Prefer not to say,Australia,No formal education past high school,Currently not employed,10-20 years,Python,,,,,,,,,,,,Other,Python
317,25-29,Man,India,Bachelor’s degree,Currently not employed,3-5 years,Python,,SQL,,C++,,,,,,MATLAB,,,Julia
596,55-59,Man,India,Master’s degree,Currently not employed,5-10 years,Python,,SQL,,,,,,,,,,,SQL
367,25-29,Man,India,Master’s degree,Other,1-2 years,Python,,SQL,,,,Javascript,,,,,,Other,Python
653,35-39,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Data Analyst,5-10 years,Python,,SQL,,C++,,,,,,,,,Python
39346,35-39,Man,Bangladesh,Master’s degree,Product/Project Manager,1-2 years,Python,,SQL,,C++,Java,Javascript,,,,,,,SQL
2969,30-34,Man,Peru,Professional degree,Student,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python
411,30-34,Man,United States of America,Bachelor’s degree,Business Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python
584,35-39,Man,Russia,Master’s degree,Student,< 1 years,Python,,,C,,,,,,,,,,C
461,35-39,Man,Turkey,Some college/university study without earning a bachelor’s degree,Other,1-2 years,,,,,,,,,,,,None,,Python
1909,40-44,Man,United Arab Emirates,Professional degree,Other,I have never written code,,,,,,,,,,,,,,
1209,55-59,Man,Japan,Doctoral degree,Currently not employed,20+ years,Python,,,C,C++,,,,,,,,,Python
810,30-34,Man,Other,No formal education past high school,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python
652,45-49,Man,Turkey,Doctoral degree,Data Scientist,10-20 years,Python,R,SQL,,,,,,,,,,,Python
770,40-44,Man,India,Bachelor’s degree,Data Scientist,10-20 years,Python,R,SQL,,,,,,,,,,,Julia
602,22-24,Woman,India,Master’s degree,Student,3-5 years,Python,,,,,,,,,,MATLAB,,,Python
1148,25-29,Man,India,Bachelor’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python
930,50-54,Man,Other,Master’s degree,Other,5-10 years,Python,,,,,,,,,Bash,,,,Python
439,22-24,Man,Kenya,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python
530,25-29,Man,United States of America,Doctoral degree,Student,1-2 years,Python,,,,C++,Java,,,,,,,,Python
1379,45-49,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,C,,Java,Javascript,,Swift,,,,,Python
79336,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python
106,18-21,Man,Malaysia,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python
297,22-24,Man,India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,,,Javascript,,,Bash,,,,Python
1362,50-54,Man,Japan,Doctoral degree,Research Scientist,20+ years,Python,,,C,,,,,,,,,,Python
771,35-39,Prefer not to say,India,Doctoral degree,Currently not employed,1-2 years,,,SQL,C,C++,,,,,,,,Other,Python
359,22-24,Man,Taiwan,Master’s degree,Data Engineer,3-5 years,Python,R,,,,,,,,,,,,Python
639,30-34,Man,India,Bachelor’s degree,Data Analyst,5-10 years,,,SQL,,,,,,,,,,,Python
1787,35-39,Man,France,Master’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,,,Bash,,,,Python
18295,22-24,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python
383,22-24,Man,Nepal,Master’s degree,Currently not employed,3-5 years,Python,,,C,C++,,Javascript,,,,,,,Python
636,25-29,Prefer not to say,Turkey,Master’s degree,Other,5-10 years,,,,,,Java,,,,,MATLAB,,Other,MATLAB
1231,40-44,Man,Malaysia,Doctoral degree,Research Scientist,10-20 years,Python,,SQL,C,C++,Java,Javascript,,,,MATLAB,,,Python
594,25-29,Woman,Netherlands,Master’s degree,Business Analyst,1-2 years,,,,,,,,,,,,None,,Python
1171,40-44,Man,India,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,Javascript,,,,,,,Python
418,40-44,Man,United States of America,Bachelor’s degree,Other,10-20 years,,R,SQL,,,,,,,,,,,R
743,25-29,Man,Colombia,Professional degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python
628,35-39,Woman,India,Doctoral degree,Other,3-5 years,Python,,SQL,C,C++,,,,,,MATLAB,,,Python
816,30-34,Woman,United States of America,Bachelor’s degree,Other,3-5 years,Python,,,,,,,,,,MATLAB,,Other,Python
103,18-21,Man,Poland,Bachelor’s degree,Student,3-5 years,,,,,,,,,,,,,,
205,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,,,,,,,,Python
324,25-29,Man,India,Master’s degree,Student,3-5 years,Python,,SQL,,C++,,,,,,,,,Python
1730,25-29,Man,Nepal,Bachelor’s degree,Other,1-2 years,Python,,,,,,,,,,,,,Python
688,22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years,Python,,,,C++,,,,,,,,,Python
335,18-21,Man,Israel,Bachelor’s degree,Student,1-2 years,Python,R,SQL,,,Java,,,,,,,,Python
562,50-54,Man,United States of America,Master’s degree,Data Scientist,20+ years,Python,,SQL,,C++,,,,,,,,,R
199,18-21,Man,Russia,Bachelor’s degree,Currently not employed,10-20 years,Python,,,,,,,,,,,,,Python
850,25-29,Man,India,Master’s degree,Data Analyst,3-5 years,Python,,SQL,,,,,,,,MATLAB,,,Python
430,40-44,Man,Other,Doctoral degree,Research Scientist,10-20 years,Python,,,,C++,,,,,Bash,MATLAB,,,Python
457,35-39,Man,Netherlands,Master’s degree,Product/Project Manager,10-20 years,Python,R,SQL,,,,Javascript,,,,,,Other,R
421,25-29,Woman,Brazil,Bachelor’s degree,Student,3-5 years,Python,,,C,,,Javascript,,,,,,,Python
1017,22-24,Man,India,Doctoral degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,Python
735,55-59,Man,Germany,Professional degree,Product/Project Manager,20+ years,Python,,SQL,C,,,,,,,,,,Python
23847,22-24,Man,India,Master’s degree,Student,< 1 years,Python,R,,,,,,,,,,,,Python
526,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,Python,,,,,,Javascript,,,,,,,Python
695,22-24,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python
810497,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,,,,,,,,,Python
929,22-24,Man,India,Bachelor’s degree,Student,3-5 years,Python,,SQL,,C++,,,,,,MATLAB,,,Python
2784,25-29,Man,Russia,No formal education past high school,Currently not employed,3-5 years,Python,,SQL,,,,,,,,,,,Python
225,22-24,Man,Nepal,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python
502,25-29,Man,Indonesia,Bachelor’s degree,Currently not employed,5-10 years,Python,,,,,,,,,,,,Other,Python
414,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python
41,40-44,Man,Other,,,,,,,,,,,,,,,,,
988,30-34,Man,Other,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,C++,,Javascript,,,,MATLAB,,,Python
491,25-29,Man,South Korea,Master’s degree,Research Scientist,3-5 years,Python,,,,,,,,,,,,,Python
58203,22-24,Man,Mexico,Master’s degree,Business Analyst,1-2 years,,,SQL,,,,,,,,,,,SQL
219960,25-29,Man,Romania,Doctoral degree,Data Scientist,5-10 years,Python,,SQL,,,,Javascript,,,Bash,,,,Python
499,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,Python,R,SQL,C,,,,,,,MATLAB,,,Python
744,35-39,Man,Other,Master’s degree,Product/Project Manager,1-2 years,,,,,,,,,,,,None,,Python
500,30-34,Man,Other,Doctoral degree,Research Scientist,3-5 years,Python,,,,,,,,,,,,Other,Python
384,35-39,Man,United States of America,Master’s degree,Other,1-2 years,Python,,SQL,,,,,,,,,,,Python
276,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python
760,35-39,Man,Japan,Master’s degree,Software Engineer,10-20 years,Python,,SQL,C,C++,,,,,,,,,Python
1973,22-24,Man,China,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python
653,22-24,Man,Turkey,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,C
193137,22-24,Man,Indonesia,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,C,C++,,,,,,MATLAB,,,Python
642,55-59,Man,Switzerland,Master’s degree,Other,< 1 years,,,,,,,,,,,,None,,None
845,25-29,Man,Indonesia,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,,Python
523,25-29,Man,Taiwan,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python
609,35-39,Man,Portugal,Bachelor’s degree,Product/Project Manager,I have never written code,,,,,,,,,,,,,,
422,18-21,Man,South Korea,No formal education past high school,Student,1-2 years,Python,,SQL,C,,Java,,,,,,,,Python
2243,30-34,Man,United States of America,Master’s degree,Other,5-10 years,Python,,SQL,,,,,,,,,,,Python
343,25-29,Man,India,Master’s degree,Software Engineer,1-2 years,,,,,,,,,,,,,Other,Python
375,22-24,Man,Germany,Master’s degree,Student,3-5 years,,R,,,,,,,,,,,,Java
869,60-69,Man,United States of America,Master’s degree,Other,20+ years,Python,,SQL,,C++,Java,,,,,,,Other,Python
790,22-24,Man,India,Bachelor’s degree,Currently not employed,3-5 years,Python,,,C,,,,,,,,,,Python
2444,35-39,Man,United States of America,Doctoral degree,Product/Project Manager,10-20 years,,,,C,C++,,,,,,MATLAB,,,Python
466,35-39,Man,Thailand,I prefer not to answer,Other,5-10 years,,,SQL,,,,Javascript,,,,,,Other,Python
822,50-54,Man,Portugal,Master’s degree,Business Analyst,1-2 years,Python,,,,,,,,,,,,,Python
1048,45-49,Man,India,Master’s degree,Software Engineer,10-20 years,,,SQL,C,,,,,,,,,,Python
39290,50-54,Man,Russia,Bachelor’s degree,Software Engineer,10-20 years,Python,,,C,,,,,,,,,,Python
209,30-34,Man,Other,Bachelor’s degree,Software Engineer,3-5 years,Python,,,,,,Javascript,,,,,,Other,None
472,22-24,Man,India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,Python
53002,40-44,Man,Japan,Master’s degree,Data Analyst,3-5 years,Python,R,SQL,,,,Javascript,,,Bash,,,,R
791,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,R,SQL,,,Java,Javascript,,,,MATLAB,,Other,Python
438,70+,Man,Germany,Master’s degree,Currently not employed,20+ years,Python,,,,C++,,,,,,,,,Python
669,30-34,Man,Russia,No formal education past high school,Software Engineer,3-5 years,,,,,,,,,,,,,Other,Python
28,18-21,Man,India,,,,,,,,,,,,,,,,,
668,30-34,Man,Germany,Doctoral degree,Product/Project Manager,3-5 years,,R,,,,,,,,,,,,Other
972,30-34,Woman,Ukraine,Master’s degree,Data Analyst,10-20 years,Python,,SQL,,,,,,,,,,,Python
464,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,,Javascript,,,,,,,Python
3902,45-49,Man,Thailand,Doctoral degree,Other,20+ years,Python,,,,,,,,,,MATLAB,,,Python
182,22-24,Man,Bangladesh,Master’s degree,Student,3-5 years,Python,,SQL,,C++,Java,,,,,,,,Python
274,22-24,Man,United States of America,Doctoral degree,Student,5-10 years,Python,,,,,,,,,,,,,Python
962,30-34,Man,Morocco,Professional degree,Software Engineer,< 1 years,,,SQL,C,,Java,Javascript,,,,,,,Python
46,25-29,Man,United States of America,Some college/university study without earning a bachelor’s degree,,,,,,,,,,,,,,,,
589,35-39,Man,United States of America,Master’s degree,Product/Project Manager,I have never written code,,,,,,,,,,,,,,
804,25-29,Man,Canada,Professional degree,Data Scientist,< 1 years,Python,,SQL,,,,,,,,,,,Python
475,25-29,Man,India,Bachelor’s degree,Business Analyst,I have never written code,,,,,,,,,,,,,,
679,22-24,Woman,India,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,MATLAB,,,Python
501,22-24,Woman,India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python
1018,25-29,Woman,United States of America,Master’s degree,Student,3-5 years,Python,R,,,,,Javascript,,,Bash,,,,Python
1888,60-69,Man,Japan,Bachelor’s degree,Product/Project Manager,I have never written code,,,,,,,,,,,,,,
891,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,,,,Bash,,,,Python
492,18-21,Man,Malaysia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,SQL,,C++,Java,Javascript,,,,,,,Python
963,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python
13822,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,Other,Python
2598,25-29,Nonbinary,Other,Master’s degree,Business Analyst,1-2 years,,R,,C,,,,,,,,,,Python
292,25-29,Woman,Other,Master’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,Python
962,22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years,,,SQL,,,Java,Javascript,,,,,,,Python
627,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,,,,,C++,,,,,,,,,R
381,18-21,Man,United States of America,Bachelor’s degree,Student,5-10 years,Python,,,,,Java,,,,,MATLAB,,Other,Java
689,22-24,Woman,Nigeria,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python
487,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,R,,C,C++,,,,,,,,,Python
1078,40-44,Man,Spain,Doctoral degree,Software Engineer,5-10 years,Python,,SQL,,,,,,,,,,,Python
1118,55-59,Man,United States of America,No formal education past high school,Software Engineer,10-20 years,,,SQL,,,,Javascript,,,,,,Other,Java
1076,30-34,Man,Spain,Bachelor’s degree,Software Engineer,5-10 years,,,,,,Java,,,,,,,Other,Python
639,18-21,Woman,India,Bachelor’s degree,Currently not employed,3-5 years,Python,,SQL,,,Java,,,,,,,,Python
785,25-29,Man,India,Master’s degree,Currently not employed,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,Python
262,22-24,Man,Japan,Bachelor’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python
348,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,,,,,MATLAB,,,Python
370,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,,C,,,,,,,,,,Julia
185800,30-34,Man,India,Master’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,MATLAB,,,Python
647,25-29,Man,Japan,Master’s degree,Student,5-10 years,Python,R,SQL,C,C++,,,,,,MATLAB,,,Python
463,22-24,Man,Other,Bachelor’s degree,Software Engineer,1-2 years,Python,,,,,,,,,,,,,C++
636,25-29,Man,India,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,C++,,,,,,,,,Julia
1445,22-24,Man,India,Master’s degree,Software Engineer,1-2 years,Python,,,,,,,,,,,,,Python
436,35-39,Man,Russia,Professional degree,Data Analyst,1-2 years,Python,R,SQL,,C++,,,,,,MATLAB,,,Python
391,50-54,Man,United States of America,Doctoral degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,,,,,Python
206,22-24,Man,India,Bachelor’s degree,Business Analyst,I have never written code,,,,,,,,,,,,,,
140,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python
220,30-34,Man,Brazil,Bachelor’s degree,Other,3-5 years,,,,,,,,,,,,,Other,Python
1882,22-24,Man,India,Bachelor’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python
886,40-44,Man,Switzerland,Doctoral degree,Research Scientist,20+ years,Python,R,,,,,,,,,,,,Python
841,30-34,Woman,India,Bachelor’s degree,Software Engineer,5-10 years,Python,,SQL,,,,Javascript,,,,,,,R
363,18-21,Man,India,Professional degree,Student,< 1 years,,,,,C++,,,,,,,,,C++
19607,25-29,Man,India,Master’s degree,Software Engineer,1-2 years,,,,,,Java,Javascript,,,,,,,Java
432,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python
1607,40-44,Woman,Nigeria,Bachelor’s degree,Data Analyst,1-2 years,Python,,,,,,,,,,,,,Python
799,40-44,Man,Republic of Korea,Master’s degree,Business Analyst,1-2 years,Python,,,,,,,,,,,,,Python
3575,18-21,Man,Ukraine,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python
229,18-21,Woman,India,Master’s degree,Student,< 1 years,Python,,,C,,Java,,,,,,,,Python
118,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python
2082,18-21,Man,Australia,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,,,,Java,,,,,,,,R
578,30-34,Man,Mexico,Doctoral degree,Software Engineer,5-10 years,Python,,SQL,,,Java,,,,,,,,Python
694,40-44,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,,,,,,,Python
16304,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,,,,,,,,Python
555,50-54,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years,Python,,,,,,,,,,,,,Python
323,18-21,Man,United States of America,Bachelor’s degree,Software Engineer,3-5 years,Python,,,C,C++,Java,Javascript,,,Bash,,,,R
58309,30-34,Woman,China,Bachelor’s degree,Data Engineer,1-2 years,Python,,,,,,,,,,,,,SQL
537,25-29,Man,Other,Bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,,,,,,,,,,,SQL
794,35-39,Man,Other,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,Javascript,,,,,,,Python
709,25-29,Man,India,Bachelor’s degree,Software Engineer,5-10 years,Python,,,,,,,,,,,,Other,SQL
700,45-49,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,5-10 years,Python,R,SQL,,,,,,,,,,,Python
775,50-54,Woman,Colombia,Doctoral degree,Data Scientist,20+ years,,R,,,,,,,,,,,,R
475,35-39,Man,Colombia,Master’s degree,Software Engineer,5-10 years,Python,,SQL,,,Java,Javascript,,,,,,Other,Python
1070,25-29,Woman,United States of America,Master’s degree,Data Scientist,1-2 years,Python,,,,,,,,,Bash,,,,Python
236591,22-24,Man,Turkey,Bachelor’s degree,Data Scientist,5-10 years,Python,,SQL,C,C++,Java,Javascript,,,Bash,MATLAB,,,Python
1747,40-44,Man,Republic of Korea,Bachelor’s degree,Machine Learning Engineer,5-10 years,Python,,,,,,Javascript,,,Bash,,,,Python
662,30-34,Man,South Africa,Master’s degree,Statistician,3-5 years,Python,R,SQL,,,,,,,,,,,Python
1257,25-29,Man,India,Master’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,Python
2475,22-24,Man,India,Professional degree,Other,1-2 years,Python,,,,C++,,Javascript,,,,MATLAB,,,Python
170,22-24,Woman,Malaysia,Bachelor’s degree,Student,I have never written code,,,,,,,,,,,,,,
273,18-21,Woman,India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,,,,,,,,,,Python
614,22-24,Woman,Pakistan,Master’s degree,Student,3-5 years,Python,,SQL,,C++,,Javascript,,,,,,,Python
624,18-21,Woman,Indonesia,I prefer not to answer,Data Analyst,1-2 years,,,,,,,,,,,MATLAB,,,MATLAB
559,22-24,Man,Egypt,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,C++,,,,,,,,,Python
501,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Analyst,1-2 years,Python,R,SQL,,,,Javascript,,,,,,,Python
538,40-44,Man,United States of America,Professional degree,Student,I have never written code,,,,,,,,,,,,,,
414,40-44,Man,Nigeria,Bachelor’s degree,Currently not employed,I have never written code,,,,,,,,,,,,,,
1569,40-44,Woman,Brazil,Doctoral degree,Data Analyst,I have never written code,,,,,,,,,,,,,,
1483,25-29,Man,Japan,Master’s degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,Python
308,35-39,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Scientist,10-20 years,Python,R,SQL,,,Java,,,,,MATLAB,,,Python
1107,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python
882,18-21,Woman,Bangladesh,Some college/university study without earning a bachelor’s degree,Student,1-2 years,,,,,C++,,,,,,,,,Python
749,22-24,Man,India,Bachelor’s degree,Student,1-2 years,Python,R,SQL,,,,,,,,,,,Python
33,30-34,Man,Germany,,,,,,,,,,,,,,,,,
1799,35-39,Man,Israel,Master’s degree,Statistician,5-10 years,Python,R,SQL,,,,,,,Bash,,,,Python
641,50-54,Man,India,Bachelor’s degree,Software Engineer,20+ years,Python,,SQL,,,Java,,,,Bash,,,,Python
1080,18-21,Man,Tunisia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,,,,,,,,,,,,,Other,Python
566,25-29,Man,Other,Doctoral degree,Research Scientist,5-10 years,Python,,,,,,,,,,MATLAB,,,Python
553,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python
370,45-49,Man,"Iran, Islamic Republic of...",Master’s degree,Currently not employed,1-2 years,,,SQL,,,Java,,,,,MATLAB,,,Python
678,50-54,Man,Italy,Doctoral degree,Data Engineer,20+ years,Python,,SQL,C,,,Javascript,,,,,,,SQL
33,22-24,Man,India,,,,,,,,,,,,,,,,,
104,30-34,Prefer not to say,India,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python
370,18-21,Woman,Mexico,Professional degree,Student,< 1 years,Python,,,,C++,,Javascript,,,,MATLAB,,,Python
344,30-34,Man,France,Master’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python
565,25-29,Man,United States of America,Master’s degree,Software Engineer,5-10 years,Python,,SQL,C,,,,,,,,,,Python
89941,55-59,Man,Argentina,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,Python
474,25-29,Man,United States of America,Master’s degree,Student,3-5 years,Python,,,,,,,,,,,,Other,R
427,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,Python
13931,25-29,Man,Peru,Bachelor’s degree,Statistician,1-2 years,Python,R,,,,,,,,,,,Other,Python
433,25-29,Woman,South Africa,Bachelor’s degree,Other,< 1 years,Python,R,,,,,,,,,,,,R
457,18-21,Man,Colombia,Bachelor’s degree,Student,3-5 years,Python,,SQL,,C++,Java,Javascript,,,,MATLAB,,,Python
374,25-29,Man,Russia,I prefer not to answer,Student,< 1 years,Python,,,,,,,,,,,,,Python
1214,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,MATLAB,,,MATLAB
530,30-34,Woman,India,I prefer not to answer,Data Scientist,5-10 years,Python,R,,,,,Javascript,,,,,,,Python
529,25-29,Man,Indonesia,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,Javascript,,,,,,,Python
496,35-39,Man,India,Bachelor’s degree,Software Engineer,10-20 years,,,,,C++,,,,,,,,,Python
1202,22-24,Man,India,Master’s degree,Other,3-5 years,Python,,SQL,,,,Javascript,,,,,,Other,Python
844,45-49,Man,Canada,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,R,SQL,,,,,,,,,,,Python
2744,45-49,Man,Other,Master’s degree,Business Analyst,< 1 years,,R,,,,,,,,,,,,R
118238,60-69,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,20+ years,,R,,,,,,,,,,,,R
450,22-24,Man,India,Bachelor’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python
359,25-29,Man,Turkey,Bachelor’s degree,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python
282,30-34,Man,Australia,Bachelor’s degree,Business Analyst,< 1 years,,,,,,,,,,,,,Other,Python
202,50-54,Man,Other,Some college/university study without earning a bachelor’s degree,Currently not employed,I have never written code,,,,,,,,,,,,,,
65524,30-34,Man,China,Master’s degree,Business Analyst,3-5 years,Python,R,SQL,,,,,,,,,,,R
635,22-24,Woman,Turkey,Bachelor’s degree,Student,3-5 years,,R,,,,,,,,,,,,R
837,30-34,Woman,Other,Master’s degree,Software Engineer,5-10 years,Python,,,,,,,,,,,,Other,Python
3705,22-24,Woman,Philippines,Bachelor’s degree,Business Analyst,5-10 years,,,SQL,,,Java,Javascript,,,,,,,SQL
92,30-34,Man,India,,,,,,,,,,,,,,,,,
1542,22-24,Man,India,I prefer not to answer,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python
538,25-29,Prefer not to say,India,Professional degree,Other,I have never written code,,,,,,,,,,,,,,
5684,22-24,Woman,China,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python
693,25-29,Man,Brazil,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,Python,R,SQL,,,,,,,,,,,Python
38,30-34,Prefer not to say,Other,No formal education past high school,,,,,,,,,,,,,,,,
2232,25-29,Man,United States of America,Master’s degree,Business Analyst,3-5 years,Python,R,SQL,,,,,,,,MATLAB,,,Python
212,18-21,Man,Ukraine,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,Other,Python
366,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,,,,Python
126,22-24,Woman,Other,Master’s degree,,,,,,,,,,,,,,,,
727,30-34,Man,United Arab Emirates,Master’s degree,DBA/Database Engineer,3-5 years,Python,,SQL,,,,,,,,,,Other,Python
517,40-44,Man,United States of America,Bachelor’s degree,Other,5-10 years,Python,,,,C++,,,,,,,,,Python
694,18-21,Man,Ukraine,Master’s degree,Student,1-2 years,,,,,,,Javascript,,Swift,,MATLAB,,,Python
749,22-24,Woman,Turkey,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,Java,,,,,,,,Python
120,40-44,Man,Netherlands,Master’s degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python
733,50-54,Man,Brazil,Master’s degree,Other,< 1 years,Python,R,,,,,,,,,,,,R
